Files already downloaded and verified
('Finish teacher outputs:', 23.10659098625183, 's')
Train Epoch: 1 [0/50000 (0%)], Loss: 4.348484, Top1:1.562, Top5:6.250
Train Epoch: 1 [640/50000 (1%)], Loss: 3.893211, Top1:2.983, Top5:14.489
Train Epoch: 1 [1280/50000 (3%)], Loss: 4.071739, Top1:4.167, Top5:16.741
Train Epoch: 1 [1920/50000 (4%)], Loss: 3.804466, Top1:5.544, Top5:19.002
Train Epoch: 1 [2560/50000 (5%)], Loss: 3.899544, Top1:7.050, Top5:21.380
Train Epoch: 1 [3200/50000 (6%)], Loss: 3.830246, Top1:8.119, Top5:23.254
Train Epoch: 1 [3840/50000 (8%)], Loss: 3.710271, Top1:8.581, Top5:24.898
Train Epoch: 1 [4480/50000 (9%)], Loss: 3.445930, Top1:9.177, Top5:26.188
Train Epoch: 1 [5120/50000 (10%)], Loss: 3.751863, Top1:9.684, Top5:27.045
Train Epoch: 1 [5760/50000 (12%)], Loss: 3.469614, Top1:10.199, Top5:28.245
Train Epoch: 1 [6400/50000 (13%)], Loss: 3.682665, Top1:10.458, Top5:28.899
Train Epoch: 1 [7040/50000 (14%)], Loss: 3.527873, Top1:10.923, Top5:29.786
Train Epoch: 1 [7680/50000 (15%)], Loss: 3.345695, Top1:11.493, Top5:30.733
Train Epoch: 1 [8320/50000 (17%)], Loss: 3.336618, Top1:11.701, Top5:31.393
Train Epoch: 1 [8960/50000 (18%)], Loss: 3.410054, Top1:12.090, Top5:31.981
Train Epoch: 1 [9600/50000 (19%)], Loss: 3.412344, Top1:12.531, Top5:32.564
Train Epoch: 1 [10240/50000 (20%)], Loss: 3.381844, Top1:12.869, Top5:33.133
Train Epoch: 1 [10880/50000 (22%)], Loss: 3.289453, Top1:13.222, Top5:33.882
Train Epoch: 1 [11520/50000 (23%)], Loss: 3.412992, Top1:13.553, Top5:34.392
Train Epoch: 1 [12160/50000 (24%)], Loss: 3.462854, Top1:13.760, Top5:34.670
Train Epoch: 1 [12800/50000 (26%)], Loss: 3.304050, Top1:14.039, Top5:35.168
Train Epoch: 1 [13440/50000 (27%)], Loss: 3.340386, Top1:14.374, Top5:35.782
Train Epoch: 1 [14080/50000 (28%)], Loss: 3.224550, Top1:14.607, Top5:36.213
Train Epoch: 1 [14720/50000 (29%)], Loss: 3.374387, Top1:14.834, Top5:36.607
Train Epoch: 1 [15360/50000 (31%)], Loss: 3.157137, Top1:15.126, Top5:36.988
Train Epoch: 1 [16000/50000 (32%)], Loss: 3.340703, Top1:15.388, Top5:37.407
Train Epoch: 1 [16640/50000 (33%)], Loss: 3.441508, Top1:15.619, Top5:37.733
Train Epoch: 1 [17280/50000 (35%)], Loss: 3.119436, Top1:15.913, Top5:38.123
Train Epoch: 1 [17920/50000 (36%)], Loss: 3.227735, Top1:16.220, Top5:38.456
Train Epoch: 1 [18560/50000 (37%)], Loss: 3.007295, Top1:16.393, Top5:38.869
Train Epoch: 1 [19200/50000 (38%)], Loss: 3.227497, Top1:16.559, Top5:39.255
Train Epoch: 1 [19840/50000 (40%)], Loss: 3.251121, Top1:16.695, Top5:39.485
Train Epoch: 1 [20480/50000 (41%)], Loss: 3.226521, Top1:16.915, Top5:39.763
Train Epoch: 1 [21120/50000 (42%)], Loss: 3.199921, Top1:17.013, Top5:40.063
Train Epoch: 1 [21760/50000 (43%)], Loss: 3.066330, Top1:17.178, Top5:40.400
Train Epoch: 1 [22400/50000 (45%)], Loss: 3.079215, Top1:17.428, Top5:40.670
Train Epoch: 1 [23040/50000 (46%)], Loss: 3.074010, Top1:17.616, Top5:40.915
Train Epoch: 1 [23680/50000 (47%)], Loss: 3.192781, Top1:17.845, Top5:41.240
Train Epoch: 1 [24320/50000 (49%)], Loss: 2.961164, Top1:18.008, Top5:41.523
Train Epoch: 1 [24960/50000 (50%)], Loss: 2.885022, Top1:18.238, Top5:41.788
Train Epoch: 1 [25600/50000 (51%)], Loss: 3.022995, Top1:18.430, Top5:42.016
Train Epoch: 1 [26240/50000 (52%)], Loss: 2.812938, Top1:18.507, Top5:42.233
Train Epoch: 1 [26880/50000 (54%)], Loss: 2.875194, Top1:18.635, Top5:42.507
Train Epoch: 1 [27520/50000 (55%)], Loss: 3.179229, Top1:18.837, Top5:42.844
Train Epoch: 1 [28160/50000 (56%)], Loss: 2.957354, Top1:19.005, Top5:43.158
Train Epoch: 1 [28800/50000 (58%)], Loss: 2.953815, Top1:19.197, Top5:43.417
Train Epoch: 1 [29440/50000 (59%)], Loss: 2.913629, Top1:19.296, Top5:43.614
Train Epoch: 1 [30080/50000 (60%)], Loss: 2.749980, Top1:19.473, Top5:43.893
Train Epoch: 1 [30720/50000 (61%)], Loss: 2.866057, Top1:19.660, Top5:44.101
Train Epoch: 1 [31360/50000 (63%)], Loss: 2.706973, Top1:19.797, Top5:44.355
Train Epoch: 1 [32000/50000 (64%)], Loss: 3.083294, Top1:19.957, Top5:44.583
Train Epoch: 1 [32640/50000 (65%)], Loss: 2.739145, Top1:20.059, Top5:44.817
Train Epoch: 1 [33280/50000 (66%)], Loss: 2.874858, Top1:20.208, Top5:44.998
Train Epoch: 1 [33920/50000 (68%)], Loss: 2.774143, Top1:20.380, Top5:45.239
Train Epoch: 1 [34560/50000 (69%)], Loss: 2.614338, Top1:20.445, Top5:45.451
Train Epoch: 1 [35200/50000 (70%)], Loss: 2.677930, Top1:20.619, Top5:45.636
Train Epoch: 1 [35840/50000 (72%)], Loss: 2.877244, Top1:20.747, Top5:45.805
Train Epoch: 1 [36480/50000 (73%)], Loss: 3.031700, Top1:20.854, Top5:46.018
Train Epoch: 1 [37120/50000 (74%)], Loss: 2.511057, Top1:21.025, Top5:46.286
Train Epoch: 1 [37760/50000 (75%)], Loss: 2.673391, Top1:21.198, Top5:46.492
Train Epoch: 1 [38400/50000 (77%)], Loss: 2.897256, Top1:21.280, Top5:46.646
Train Epoch: 1 [39040/50000 (78%)], Loss: 2.430319, Top1:21.456, Top5:46.893
Train Epoch: 1 [39680/50000 (79%)], Loss: 2.519756, Top1:21.573, Top5:47.041
Train Epoch: 1 [40320/50000 (81%)], Loss: 2.739634, Top1:21.694, Top5:47.244
Train Epoch: 1 [40960/50000 (82%)], Loss: 2.670675, Top1:21.873, Top5:47.428
Train Epoch: 1 [41600/50000 (83%)], Loss: 2.737266, Top1:22.014, Top5:47.607
Train Epoch: 1 [42240/50000 (84%)], Loss: 2.718781, Top1:22.175, Top5:47.813
Train Epoch: 1 [42880/50000 (86%)], Loss: 2.860852, Top1:22.283, Top5:48.009
Train Epoch: 1 [43520/50000 (87%)], Loss: 2.898252, Top1:22.389, Top5:48.190
Train Epoch: 1 [44160/50000 (88%)], Loss: 2.790583, Top1:22.583, Top5:48.415
Train Epoch: 1 [44800/50000 (90%)], Loss: 2.727874, Top1:22.726, Top5:48.605
Train Epoch: 1 [45440/50000 (91%)], Loss: 2.654509, Top1:22.901, Top5:48.818
Train Epoch: 1 [46080/50000 (92%)], Loss: 2.545773, Top1:23.054, Top5:49.014
Train Epoch: 1 [46720/50000 (93%)], Loss: 2.766905, Top1:23.162, Top5:49.147
Train Epoch: 1 [47360/50000 (95%)], Loss: 2.711958, Top1:23.277, Top5:49.342
Train Epoch: 1 [48000/50000 (96%)], Loss: 2.639830, Top1:23.369, Top5:49.528
Train Epoch: 1 [48640/50000 (97%)], Loss: 2.472625, Top1:23.505, Top5:49.702
Train Epoch: 1 [49280/50000 (98%)], Loss: 2.654891, Top1:23.652, Top5:49.893
Train Epoch: 1 [49920/50000 (100%)], Loss: 2.287007, Top1:23.786, Top5:50.062
('Training Time:', 77.16638708114624)

Test set: Average loss: 0.0003, Top1:32.090, Top5:61.480

('Testing Time:', 5.002781867980957)
Train Epoch: 2 [0/50000 (0%)], Loss: 2.433637, Top1:37.500, Top5:67.188
Train Epoch: 2 [640/50000 (1%)], Loss: 2.584129, Top1:35.938, Top5:66.051
Train Epoch: 2 [1280/50000 (3%)], Loss: 2.515594, Top1:36.161, Top5:65.625
Train Epoch: 2 [1920/50000 (4%)], Loss: 2.566061, Top1:36.290, Top5:65.827
Train Epoch: 2 [2560/50000 (5%)], Loss: 2.542455, Top1:36.471, Top5:65.854
Train Epoch: 2 [3200/50000 (6%)], Loss: 2.229822, Top1:37.163, Top5:66.820
Train Epoch: 2 [3840/50000 (8%)], Loss: 2.544023, Top1:37.346, Top5:66.726
Train Epoch: 2 [4480/50000 (9%)], Loss: 2.430162, Top1:36.642, Top5:66.043
Train Epoch: 2 [5120/50000 (10%)], Loss: 2.599516, Top1:36.921, Top5:66.088
Train Epoch: 2 [5760/50000 (12%)], Loss: 2.679093, Top1:36.916, Top5:65.951
Train Epoch: 2 [6400/50000 (13%)], Loss: 2.483215, Top1:36.866, Top5:66.012
Train Epoch: 2 [7040/50000 (14%)], Loss: 2.251420, Top1:36.599, Top5:66.047
Train Epoch: 2 [7680/50000 (15%)], Loss: 2.426594, Top1:36.777, Top5:66.206
Train Epoch: 2 [8320/50000 (17%)], Loss: 2.395510, Top1:36.760, Top5:66.066
Train Epoch: 2 [8960/50000 (18%)], Loss: 2.348898, Top1:36.724, Top5:66.013
Train Epoch: 2 [9600/50000 (19%)], Loss: 2.357267, Top1:36.662, Top5:66.101
Train Epoch: 2 [10240/50000 (20%)], Loss: 2.710318, Top1:36.530, Top5:66.139
Train Epoch: 2 [10880/50000 (22%)], Loss: 2.347915, Top1:36.668, Top5:66.274
Train Epoch: 2 [11520/50000 (23%)], Loss: 2.369358, Top1:36.637, Top5:66.290
