Files already downloaded and verified
('Finish teacher outputs:', 22.98583197593689, 's')
Train Epoch: 1 [0/50000 (0%)], Loss: 2.713220, Top1:0.000, Top5:4.688
Train Epoch: 1 [640/50000 (1%)], Loss: 2.460340, Top1:2.699, Top5:12.926
Train Epoch: 1 [1280/50000 (3%)], Loss: 2.536209, Top1:3.943, Top5:14.955
Train Epoch: 1 [1920/50000 (4%)], Loss: 2.430688, Top1:4.788, Top5:17.137
Train Epoch: 1 [2560/50000 (5%)], Loss: 2.448636, Top1:5.983, Top5:20.046
Train Epoch: 1 [3200/50000 (6%)], Loss: 2.395013, Top1:7.292, Top5:21.998
Train Epoch: 1 [3840/50000 (8%)], Loss: 2.357525, Top1:7.582, Top5:23.438
Train Epoch: 1 [4480/50000 (9%)], Loss: 2.269970, Top1:8.231, Top5:24.516
Train Epoch: 1 [5120/50000 (10%)], Loss: 2.376532, Top1:8.681, Top5:25.328
Train Epoch: 1 [5760/50000 (12%)], Loss: 2.243129, Top1:9.066, Top5:26.168
Train Epoch: 1 [6400/50000 (13%)], Loss: 2.322756, Top1:9.514, Top5:26.825
Train Epoch: 1 [7040/50000 (14%)], Loss: 2.328563, Top1:9.952, Top5:27.590
Train Epoch: 1 [7680/50000 (15%)], Loss: 2.222177, Top1:10.640, Top5:28.396
Train Epoch: 1 [8320/50000 (17%)], Loss: 2.196845, Top1:10.890, Top5:29.055
Train Epoch: 1 [8960/50000 (18%)], Loss: 2.249828, Top1:11.115, Top5:29.654
Train Epoch: 1 [9600/50000 (19%)], Loss: 2.208794, Top1:11.527, Top5:30.101
Train Epoch: 1 [10240/50000 (20%)], Loss: 2.198806, Top1:11.792, Top5:30.600
Train Epoch: 1 [10880/50000 (22%)], Loss: 2.160923, Top1:12.135, Top5:31.232
Train Epoch: 1 [11520/50000 (23%)], Loss: 2.247045, Top1:12.362, Top5:31.794
Train Epoch: 1 [12160/50000 (24%)], Loss: 2.288940, Top1:12.533, Top5:32.027
Train Epoch: 1 [12800/50000 (26%)], Loss: 2.176873, Top1:12.780, Top5:32.393
Train Epoch: 1 [13440/50000 (27%)], Loss: 2.185290, Top1:13.063, Top5:32.938
Train Epoch: 1 [14080/50000 (28%)], Loss: 2.149306, Top1:13.292, Top5:33.286
Train Epoch: 1 [14720/50000 (29%)], Loss: 2.182751, Top1:13.508, Top5:33.712
Train Epoch: 1 [15360/50000 (31%)], Loss: 2.140942, Top1:13.712, Top5:34.096
Train Epoch: 1 [16000/50000 (32%)], Loss: 2.174067, Top1:13.932, Top5:34.524
Train Epoch: 1 [16640/50000 (33%)], Loss: 2.260077, Top1:14.140, Top5:34.812
Train Epoch: 1 [17280/50000 (35%)], Loss: 2.089814, Top1:14.426, Top5:35.217
Train Epoch: 1 [17920/50000 (36%)], Loss: 2.150408, Top1:14.657, Top5:35.537
Train Epoch: 1 [18560/50000 (37%)], Loss: 2.009852, Top1:14.841, Top5:35.997
Train Epoch: 1 [19200/50000 (38%)], Loss: 2.182583, Top1:15.002, Top5:36.311
Train Epoch: 1 [19840/50000 (40%)], Loss: 2.190599, Top1:15.153, Top5:36.606
Train Epoch: 1 [20480/50000 (41%)], Loss: 2.210989, Top1:15.348, Top5:36.857
Train Epoch: 1 [21120/50000 (42%)], Loss: 2.127919, Top1:15.455, Top5:37.127
Train Epoch: 1 [21760/50000 (43%)], Loss: 2.083867, Top1:15.529, Top5:37.390
Train Epoch: 1 [22400/50000 (45%)], Loss: 2.077454, Top1:15.745, Top5:37.620
Train Epoch: 1 [23040/50000 (46%)], Loss: 2.104224, Top1:15.880, Top5:37.859
Train Epoch: 1 [23680/50000 (47%)], Loss: 2.124999, Top1:16.092, Top5:38.237
Train Epoch: 1 [24320/50000 (49%)], Loss: 2.047491, Top1:16.191, Top5:38.435
Train Epoch: 1 [24960/50000 (50%)], Loss: 1.974487, Top1:16.400, Top5:38.727
Train Epoch: 1 [25600/50000 (51%)], Loss: 2.122781, Top1:16.564, Top5:38.918
Train Epoch: 1 [26240/50000 (52%)], Loss: 1.970382, Top1:16.617, Top5:39.127
Train Epoch: 1 [26880/50000 (54%)], Loss: 1.999773, Top1:16.664, Top5:39.330
Train Epoch: 1 [27520/50000 (55%)], Loss: 2.143120, Top1:16.800, Top5:39.639
Train Epoch: 1 [28160/50000 (56%)], Loss: 1.995215, Top1:16.947, Top5:39.927
Train Epoch: 1 [28800/50000 (58%)], Loss: 2.019432, Top1:17.136, Top5:40.202
Train Epoch: 1 [29440/50000 (59%)], Loss: 2.008895, Top1:17.249, Top5:40.344
Train Epoch: 1 [30080/50000 (60%)], Loss: 1.935553, Top1:17.420, Top5:40.598
Train Epoch: 1 [30720/50000 (61%)], Loss: 2.007615, Top1:17.545, Top5:40.794
Train Epoch: 1 [31360/50000 (63%)], Loss: 1.909831, Top1:17.687, Top5:41.032
Train Epoch: 1 [32000/50000 (64%)], Loss: 2.108642, Top1:17.808, Top5:41.205
Train Epoch: 1 [32640/50000 (65%)], Loss: 1.958689, Top1:17.924, Top5:41.383
Train Epoch: 1 [33280/50000 (66%)], Loss: 2.002286, Top1:18.045, Top5:41.543
Train Epoch: 1 [33920/50000 (68%)], Loss: 1.974402, Top1:18.197, Top5:41.752
Train Epoch: 1 [34560/50000 (69%)], Loss: 1.886098, Top1:18.294, Top5:41.890
Train Epoch: 1 [35200/50000 (70%)], Loss: 1.918547, Top1:18.438, Top5:42.032
Train Epoch: 1 [35840/50000 (72%)], Loss: 1.978466, Top1:18.566, Top5:42.171
Train Epoch: 1 [36480/50000 (73%)], Loss: 2.087916, Top1:18.630, Top5:42.322
Train Epoch: 1 [37120/50000 (74%)], Loss: 1.856808, Top1:18.745, Top5:42.572
Train Epoch: 1 [37760/50000 (75%)], Loss: 1.899601, Top1:18.901, Top5:42.766
Train Epoch: 1 [38400/50000 (77%)], Loss: 1.998717, Top1:18.994, Top5:42.876
Train Epoch: 1 [39040/50000 (78%)], Loss: 1.778401, Top1:19.134, Top5:43.121
Train Epoch: 1 [39680/50000 (79%)], Loss: 1.850439, Top1:19.251, Top5:43.305
Train Epoch: 1 [40320/50000 (81%)], Loss: 1.895491, Top1:19.401, Top5:43.468
Train Epoch: 1 [40960/50000 (82%)], Loss: 1.882186, Top1:19.552, Top5:43.672
Train Epoch: 1 [41600/50000 (83%)], Loss: 1.963299, Top1:19.669, Top5:43.836
Train Epoch: 1 [42240/50000 (84%)], Loss: 1.911578, Top1:19.792, Top5:44.024
Train Epoch: 1 [42880/50000 (86%)], Loss: 1.985406, Top1:19.889, Top5:44.174
Train Epoch: 1 [43520/50000 (87%)], Loss: 1.983422, Top1:19.980, Top5:44.333
Train Epoch: 1 [44160/50000 (88%)], Loss: 2.015860, Top1:20.116, Top5:44.541
Train Epoch: 1 [44800/50000 (90%)], Loss: 1.917955, Top1:20.230, Top5:44.713
Train Epoch: 1 [45440/50000 (91%)], Loss: 1.837313, Top1:20.374, Top5:44.919
Train Epoch: 1 [46080/50000 (92%)], Loss: 1.827562, Top1:20.503, Top5:45.100
Train Epoch: 1 [46720/50000 (93%)], Loss: 1.975613, Top1:20.614, Top5:45.225
Train Epoch: 1 [47360/50000 (95%)], Loss: 1.898482, Top1:20.703, Top5:45.386
Train Epoch: 1 [48000/50000 (96%)], Loss: 1.885683, Top1:20.812, Top5:45.537
Train Epoch: 1 [48640/50000 (97%)], Loss: 1.755276, Top1:20.926, Top5:45.719
Train Epoch: 1 [49280/50000 (98%)], Loss: 1.874459, Top1:21.038, Top5:45.884
Train Epoch: 1 [49920/50000 (100%)], Loss: 1.738006, Top1:21.159, Top5:46.049
('Training Time:', 74.44716215133667)

Test set: Average loss: 0.0002, Top1:29.160, Top5:58.060

('Testing Time:', 4.888577938079834)
Train Epoch: 2 [0/50000 (0%)], Loss: 1.750697, Top1:34.375, Top5:64.062
Train Epoch: 2 [640/50000 (1%)], Loss: 1.864005, Top1:29.545, Top5:61.364
Train Epoch: 2 [1280/50000 (3%)], Loss: 1.828838, Top1:30.432, Top5:60.342
