Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 1 [41600/50000 (83%)], Loss: 2.769835, Top1:22.242, Top5:47.859
Train Epoch: 1 [42240/50000 (84%)], Loss: 2.756109, Top1:22.414, Top5:48.073
Train Epoch: 1 [42880/50000 (86%)], Loss: 2.817149, Top1:22.515, Top5:48.247
Train Epoch: 1 [43520/50000 (87%)], Loss: 2.898962, Top1:22.641, Top5:48.444
Train Epoch: 1 [44160/50000 (88%)], Loss: 2.812597, Top1:22.802, Top5:48.646
Train Epoch: 1 [44800/50000 (90%)], Loss: 2.719021, Top1:22.938, Top5:48.794
Train Epoch: 1 [45440/50000 (91%)], Loss: 2.646052, Top1:23.119, Top5:49.007
Train Epoch: 1 [46080/50000 (92%)], Loss: 2.559752, Top1:23.260, Top5:49.202
Train Epoch: 1 [46720/50000 (93%)], Loss: 2.677553, Top1:23.363, Top5:49.335
Train Epoch: 1 [47360/50000 (95%)], Loss: 2.731460, Top1:23.484, Top5:49.530
Train Epoch: 1 [48000/50000 (96%)], Loss: 2.715246, Top1:23.579, Top5:49.709
Train Epoch: 1 [48640/50000 (97%)], Loss: 2.444954, Top1:23.694, Top5:49.875
Train Epoch: 1 [49280/50000 (98%)], Loss: 2.647169, Top1:23.827, Top5:50.075
Train Epoch: 1 [49920/50000 (100%)], Loss: 2.334623, Top1:23.946, Top5:50.252
('Training Time:', 81.34074401855469)

Test set: Average loss: 0.0003, Top1:31.860, Top5:61.250

('Testing Time:', 5.136587858200073)
Train Epoch: 2 [0/50000 (0%)], Loss: 2.418178, Top1:39.062, Top5:64.062
Train Epoch: 2 [640/50000 (1%)], Loss: 2.553732, Top1:37.358, Top5:65.483
Train Epoch: 2 [1280/50000 (3%)], Loss: 2.525993, Top1:36.682, Top5:64.732
Train Epoch: 2 [1920/50000 (4%)], Loss: 2.531104, Top1:37.147, Top5:65.373
Train Epoch: 2 [2560/50000 (5%)], Loss: 2.543927, Top1:36.852, Top5:66.197
Train Epoch: 2 [3200/50000 (6%)], Loss: 2.231436, Top1:37.929, Top5:66.850
Train Epoch: 2 [3840/50000 (8%)], Loss: 2.449630, Top1:37.859, Top5:66.829
