Files already downloaded and verified
Train Epoch: 1 [37120/50000 (74%)], Loss: 0.146703, Top1:97.913, Top5:99.876
Train Epoch: 1 [37760/50000 (75%)], Loss: 0.140780, Top1:97.919, Top5:99.873
Train Epoch: 1 [38400/50000 (77%)], Loss: 0.137469, Top1:97.923, Top5:99.875
Train Epoch: 1 [39040/50000 (78%)], Loss: 0.138764, Top1:97.926, Top5:99.877
Train Epoch: 1 [39680/50000 (79%)], Loss: 0.084980, Top1:97.924, Top5:99.879
Train Epoch: 1 [40320/50000 (81%)], Loss: 0.148258, Top1:97.920, Top5:99.879
Train Epoch: 1 [40960/50000 (82%)], Loss: 0.118363, Top1:97.904, Top5:99.878
Train Epoch: 1 [41600/50000 (83%)], Loss: 0.120861, Top1:97.900, Top5:99.880
Train Epoch: 1 [42240/50000 (84%)], Loss: 0.174665, Top1:97.887, Top5:99.879
Train Epoch: 1 [42880/50000 (86%)], Loss: 0.170971, Top1:97.900, Top5:99.881
Train Epoch: 1 [43520/50000 (87%)], Loss: 0.094485, Top1:97.901, Top5:99.878
Train Epoch: 1 [44160/50000 (88%)], Loss: 0.105773, Top1:97.895, Top5:99.880
Train Epoch: 1 [44800/50000 (90%)], Loss: 0.108570, Top1:97.887, Top5:99.877
Train Epoch: 1 [45440/50000 (91%)], Loss: 0.064336, Top1:97.890, Top5:99.879
Train Epoch: 1 [46080/50000 (92%)], Loss: 0.117942, Top1:97.887, Top5:99.876
Train Epoch: 1 [46720/50000 (93%)], Loss: 0.182794, Top1:97.886, Top5:99.874
Train Epoch: 1 [47360/50000 (95%)], Loss: 0.111349, Top1:97.877, Top5:99.873
Train Epoch: 1 [48000/50000 (96%)], Loss: 0.061164, Top1:97.878, Top5:99.875
Train Epoch: 1 [48640/50000 (97%)], Loss: 0.134847, Top1:97.879, Top5:99.873
Train Epoch: 1 [49280/50000 (98%)], Loss: 0.182880, Top1:97.874, Top5:99.872
Train Epoch: 1 [49920/50000 (100%)], Loss: 0.129051, Top1:97.859, Top5:99.872

Test set: Average loss: 3.0007, Top1:44.520, Top5:72.130

Train Epoch: 2 [0/50000 (0%)], Loss: 0.095241, Top1:98.438, Top5:100.000
Train Epoch: 2 [640/50000 (1%)], Loss: 0.102334, Top1:97.869, Top5:99.858
Train Epoch: 2 [1280/50000 (3%)], Loss: 0.060726, Top1:98.289, Top5:99.926
Train Epoch: 2 [1920/50000 (4%)], Loss: 0.057089, Top1:98.387, Top5:99.950
Train Epoch: 2 [2560/50000 (5%)], Loss: 0.142569, Top1:98.399, Top5:99.962
Train Epoch: 2 [3200/50000 (6%)], Loss: 0.101346, Top1:98.438, Top5:99.969
Train Epoch: 2 [3840/50000 (8%)], Loss: 0.073199, Top1:98.438, Top5:99.949
Train Epoch: 2 [4480/50000 (9%)], Loss: 0.067199, Top1:98.438, Top5:99.956
Train Epoch: 2 [5120/50000 (10%)], Loss: 0.097425, Top1:98.399, Top5:99.942
Train Epoch: 2 [5760/50000 (12%)], Loss: 0.134135, Top1:98.352, Top5:99.931
Train Epoch: 2 [6400/50000 (13%)], Loss: 0.058755, Top1:98.407, Top5:99.938
Train Epoch: 2 [7040/50000 (14%)], Loss: 0.101010, Top1:98.438, Top5:99.944
Train Epoch: 2 [7680/50000 (15%)], Loss: 0.091457, Top1:98.450, Top5:99.935
