Files already downloaded and verified
('Finish teacher outputs:', 23.653264045715332, 's')
Train Epoch: 1 [0/50000 (0%)], Loss: 1.037263, Top1:6.250, Top5:10.938
Train Epoch: 1 [640/50000 (1%)], Loss: 1.040140, Top1:1.705, Top5:7.244
Train Epoch: 1 [1280/50000 (3%)], Loss: 1.005247, Top1:2.009, Top5:8.780
Train Epoch: 1 [1920/50000 (4%)], Loss: 1.050108, Top1:2.671, Top5:10.282
Train Epoch: 1 [2560/50000 (5%)], Loss: 1.009180, Top1:3.087, Top5:12.271
Train Epoch: 1 [3200/50000 (6%)], Loss: 0.986994, Top1:3.860, Top5:14.216
Train Epoch: 1 [3840/50000 (8%)], Loss: 0.958278, Top1:4.457, Top5:15.266
Train Epoch: 1 [4480/50000 (9%)], Loss: 1.043010, Top1:4.864, Top5:16.417
Train Epoch: 1 [5120/50000 (10%)], Loss: 0.954876, Top1:5.305, Top5:17.342
Train Epoch: 1 [5760/50000 (12%)], Loss: 1.002022, Top1:5.495, Top5:18.046
Train Epoch: 1 [6400/50000 (13%)], Loss: 1.070193, Top1:5.925, Top5:18.595
Train Epoch: 1 [7040/50000 (14%)], Loss: 1.005515, Top1:6.363, Top5:19.341
Train Epoch: 1 [7680/50000 (15%)], Loss: 1.073626, Top1:6.663, Top5:20.015
Train Epoch: 1 [8320/50000 (17%)], Loss: 0.964084, Top1:6.751, Top5:20.587
Train Epoch: 1 [8960/50000 (18%)], Loss: 1.034157, Top1:6.871, Top5:20.867
Train Epoch: 1 [9600/50000 (19%)], Loss: 0.957044, Top1:7.233, Top5:21.513
Train Epoch: 1 [10240/50000 (20%)], Loss: 0.912522, Top1:7.541, Top5:21.943
Train Epoch: 1 [10880/50000 (22%)], Loss: 0.973087, Top1:7.867, Top5:22.496
Train Epoch: 1 [11520/50000 (23%)], Loss: 0.951121, Top1:8.046, Top5:22.989
Train Epoch: 1 [12160/50000 (24%)], Loss: 1.041163, Top1:8.254, Top5:23.208
Train Epoch: 1 [12800/50000 (26%)], Loss: 0.980497, Top1:8.442, Top5:23.507
Train Epoch: 1 [13440/50000 (27%)], Loss: 0.972688, Top1:8.709, Top5:23.971
Train Epoch: 1 [14080/50000 (28%)], Loss: 0.934525, Top1:8.852, Top5:24.208
Train Epoch: 1 [14720/50000 (29%)], Loss: 0.951024, Top1:9.017, Top5:24.601
Train Epoch: 1 [15360/50000 (31%)], Loss: 1.045957, Top1:9.174, Top5:24.968
Train Epoch: 1 [16000/50000 (32%)], Loss: 0.950311, Top1:9.363, Top5:25.342
Train Epoch: 1 [16640/50000 (33%)], Loss: 0.973089, Top1:9.495, Top5:25.569
Train Epoch: 1 [17280/50000 (35%)], Loss: 1.026079, Top1:9.623, Top5:25.934
Train Epoch: 1 [17920/50000 (36%)], Loss: 0.969685, Top1:9.792, Top5:26.257
Train Epoch: 1 [18560/50000 (37%)], Loss: 0.952424, Top1:9.992, Top5:26.605
Train Epoch: 1 [19200/50000 (38%)], Loss: 1.076588, Top1:10.117, Top5:26.905
Train Epoch: 1 [19840/50000 (40%)], Loss: 1.035539, Top1:10.239, Top5:27.110
Train Epoch: 1 [20480/50000 (41%)], Loss: 1.031826, Top1:10.387, Top5:27.375
Train Epoch: 1 [21120/50000 (42%)], Loss: 0.988363, Top1:10.498, Top5:27.620
Train Epoch: 1 [21760/50000 (43%)], Loss: 0.970196, Top1:10.548, Top5:27.768
Train Epoch: 1 [22400/50000 (45%)], Loss: 0.945087, Top1:10.702, Top5:28.063
