Files already downloaded and verified
('Finish teacher outputs:', 23.654296875, 's')
Train Epoch: 1 [0/50000 (0%)], Loss: 2.673466, Top1:1.562, Top5:12.500
Train Epoch: 1 [640/50000 (1%)], Loss: 2.453847, Top1:2.131, Top5:11.932
Train Epoch: 1 [1280/50000 (3%)], Loss: 2.553301, Top1:3.497, Top5:14.658
Train Epoch: 1 [1920/50000 (4%)], Loss: 2.414407, Top1:4.486, Top5:17.036
Train Epoch: 1 [2560/50000 (5%)], Loss: 2.444175, Top1:5.716, Top5:19.703
Train Epoch: 1 [3200/50000 (6%)], Loss: 2.416170, Top1:7.108, Top5:21.752
Train Epoch: 1 [3840/50000 (8%)], Loss: 2.368828, Top1:7.531, Top5:23.079
Train Epoch: 1 [4480/50000 (9%)], Loss: 2.283873, Top1:8.165, Top5:24.318
Train Epoch: 1 [5120/50000 (10%)], Loss: 2.326886, Top1:8.603, Top5:25.096
Train Epoch: 1 [5760/50000 (12%)], Loss: 2.254811, Top1:9.066, Top5:26.030
Train Epoch: 1 [6400/50000 (13%)], Loss: 2.347531, Top1:9.406, Top5:26.733
Train Epoch: 1 [7040/50000 (14%)], Loss: 2.321525, Top1:9.755, Top5:27.576
Train Epoch: 1 [7680/50000 (15%)], Loss: 2.260803, Top1:10.331, Top5:28.474
Train Epoch: 1 [8320/50000 (17%)], Loss: 2.168625, Top1:10.532, Top5:29.115
Train Epoch: 1 [8960/50000 (18%)], Loss: 2.272981, Top1:10.816, Top5:29.654
Train Epoch: 1 [9600/50000 (19%)], Loss: 2.183124, Top1:11.186, Top5:30.205
Train Epoch: 1 [10240/50000 (20%)], Loss: 2.185486, Top1:11.413, Top5:30.755
Train Epoch: 1 [10880/50000 (22%)], Loss: 2.198895, Top1:11.824, Top5:31.360
Train Epoch: 1 [11520/50000 (23%)], Loss: 2.222958, Top1:12.103, Top5:31.915
Train Epoch: 1 [12160/50000 (24%)], Loss: 2.297040, Top1:12.328, Top5:32.240
Train Epoch: 1 [12800/50000 (26%)], Loss: 2.223320, Top1:12.547, Top5:32.649
Train Epoch: 1 [13440/50000 (27%)], Loss: 2.205853, Top1:12.841, Top5:33.175
Train Epoch: 1 [14080/50000 (28%)], Loss: 2.134193, Top1:13.080, Top5:33.541
Train Epoch: 1 [14720/50000 (29%)], Loss: 2.188804, Top1:13.291, Top5:33.942
Train Epoch: 1 [15360/50000 (31%)], Loss: 2.159087, Top1:13.563, Top5:34.330
Train Epoch: 1 [16000/50000 (32%)], Loss: 2.178012, Top1:13.863, Top5:34.767
Train Epoch: 1 [16640/50000 (33%)], Loss: 2.264395, Top1:14.080, Top5:35.099
Train Epoch: 1 [17280/50000 (35%)], Loss: 2.129907, Top1:14.368, Top5:35.413
Train Epoch: 1 [17920/50000 (36%)], Loss: 2.153675, Top1:14.602, Top5:35.693
Train Epoch: 1 [18560/50000 (37%)], Loss: 2.047744, Top1:14.744, Top5:36.104
Train Epoch: 1 [19200/50000 (38%)], Loss: 2.198051, Top1:14.893, Top5:36.446
Train Epoch: 1 [19840/50000 (40%)], Loss: 2.199236, Top1:15.037, Top5:36.731
Train Epoch: 1 [20480/50000 (41%)], Loss: 2.191982, Top1:15.299, Top5:36.960
Train Epoch: 1 [21120/50000 (42%)], Loss: 2.193917, Top1:15.417, Top5:37.193
Train Epoch: 1 [21760/50000 (43%)], Loss: 2.085603, Top1:15.497, Top5:37.459
Train Epoch: 1 [22400/50000 (45%)], Loss: 2.062122, Top1:15.727, Top5:37.674
Train Epoch: 1 [23040/50000 (46%)], Loss: 2.127962, Top1:15.854, Top5:37.916
Train Epoch: 1 [23680/50000 (47%)], Loss: 2.101315, Top1:16.046, Top5:38.191
Train Epoch: 1 [24320/50000 (49%)], Loss: 2.026211, Top1:16.175, Top5:38.394
Train Epoch: 1 [24960/50000 (50%)], Loss: 1.988057, Top1:16.336, Top5:38.659
Train Epoch: 1 [25600/50000 (51%)], Loss: 2.113169, Top1:16.471, Top5:38.864
Train Epoch: 1 [26240/50000 (52%)], Loss: 1.949873, Top1:16.545, Top5:39.059
Train Epoch: 1 [26880/50000 (54%)], Loss: 1.979092, Top1:16.609, Top5:39.252
Train Epoch: 1 [27520/50000 (55%)], Loss: 2.152228, Top1:16.727, Top5:39.545
Train Epoch: 1 [28160/50000 (56%)], Loss: 1.952952, Top1:16.904, Top5:39.835
Train Epoch: 1 [28800/50000 (58%)], Loss: 2.042939, Top1:17.094, Top5:40.098
